"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","TimeToExp"
"1","SPY231106C00340000","REGULAR","USD",2023-11-06,340,95.13,16.93,21.649616,95.04,95.26,24,2,2023-11-03 16:14:41,1.69629058105469,TRUE,0.0027378507871321
"2","SPY231106C00350000","REGULAR","USD",2023-11-06,350,80.28,0,0,85.04,85.26,1,2,2023-11-02 15:01:55,1.5234398828125,TRUE,0.0027378507871321
"3","SPY231106C00360000","REGULAR","USD",2023-11-06,360,53.31,0,0,75.05,75.27,1,1,2023-10-30 10:27:25,1.359378203125,TRUE,0.0027378507871321
"4","SPY231106C00370000","REGULAR","USD",2023-11-06,370,59.15,0,0,65.05,65.27,3,1,2023-11-02 12:35:42,1.19043373535156,TRUE,0.0027378507871321
"5","SPY231106C00375000","REGULAR","USD",2023-11-06,375,59.58,11.460003,23.815468,60.06,60.27,4,4,2023-11-03 11:32:30,1.109379453125,TRUE,0.0027378507871321
"6","SPY231106C00380000","REGULAR","USD",2023-11-06,380,38.11,0,0,55.06,55.28,1,1,2023-10-31 13:56:59,1.02832517089844,TRUE,0.0027378507871321
"7","SPY231106C00385000","REGULAR","USD",2023-11-06,385,30.99,0,0,50.06,50.28,4,1,2023-10-30 16:13:28,0.945313046875,TRUE,0.0027378507871321
"8","SPY231106C00386000","REGULAR","USD",2023-11-06,386,29.4,0,0,49.06,49.28,8,2,2023-10-30 09:59:25,0.928711650390625,TRUE,0.0027378507871321
"9","SPY231106C00389000","REGULAR","USD",2023-11-06,389,22.36,0,0,46.07,46.28,4,2,2023-10-27 13:56:42,0.880372290039062,TRUE,0.0027378507871321
"10","SPY231106C00390000","REGULAR","USD",2023-11-06,390,45.44,17.689999,63.747746,45.07,45.28,2,6,2023-11-03 15:39:17,0.863770893554688,TRUE,0.0027378507871321
"11","SPY231106C00391000","REGULAR","USD",2023-11-06,391,36.22,0,0,44.07,44.28,480,263,2023-11-02 09:47:55,0.846681220703125,TRUE,0.0027378507871321
"12","SPY231106C00392000","REGULAR","USD",2023-11-06,392,23.95,0,0,43.07,43.28,NA,2,2023-10-26 14:41:58,0.83007982421875,TRUE,0.0027378507871321
"13","SPY231106C00395000","REGULAR","USD",2023-11-06,395,41.04,12.93,45.997868,40.07,40.29,5,6,2023-11-03 14:57:55,0.782228740234375,TRUE,0.0027378507871321
"14","SPY231106C00396000","REGULAR","USD",2023-11-06,396,18.8,0,0,39.07,39.29,1,1,2023-10-30 11:07:53,0.765139067382813,TRUE,0.0027378507871321
"15","SPY231106C00397000","REGULAR","USD",2023-11-06,397,30.75,0,0,38.07,38.29,2,119,2023-11-02 09:55:37,0.748537670898438,TRUE,0.0027378507871321
"16","SPY231106C00399000","REGULAR","USD",2023-11-06,399,17.85,0,0,36.07,36.29,12,1267,2023-10-30 14:53:15,0.7148466015625,TRUE,0.0027378507871321
"17","SPY231106C00400000","REGULAR","USD",2023-11-06,400,35.17,4.8099976,15.843206,35.07,35.29,15,126,2023-11-03 16:14:21,0.698245205078125,TRUE,0.0027378507871321
"18","SPY231106C00401000","REGULAR","USD",2023-11-06,401,11.55,0,0,34.07,34.29,11,10,2023-10-27 15:26:51,0.681155532226563,TRUE,0.0027378507871321
"19","SPY231106C00402000","REGULAR","USD",2023-11-06,402,14.66,0,0,33.08,33.29,2,22,2023-10-31 10:24:17,0.66601896484375,TRUE,0.0027378507871321
"20","SPY231106C00403000","REGULAR","USD",2023-11-06,403,32.47,6.4100018,24.59709,32.08,32.29,1,55,2023-11-03 14:10:06,0.648929291992188,TRUE,0.0027378507871321
"21","SPY231106C00404000","REGULAR","USD",2023-11-06,404,31.69,16.91,114.41137,31.08,31.29,2,1326,2023-11-03 14:15:32,0.631839619140625,TRUE,0.0027378507871321
"22","SPY231106C00405000","REGULAR","USD",2023-11-06,405,25.5,0,0,30.08,30.29,37,81,2023-11-02 14:44:35,0.61523822265625,TRUE,0.0027378507871321
"23","SPY231106C00406000","REGULAR","USD",2023-11-06,406,24.7,0,0,29.08,29.29,27,103,2023-11-02 15:47:07,0.598148549804688,TRUE,0.0027378507871321
"24","SPY231106C00407000","REGULAR","USD",2023-11-06,407,27.9,4.6399994,19.948406,28.08,28.3,2,228,2023-11-03 15:59:02,0.582523706054688,TRUE,0.0027378507871321
"25","SPY231106C00408000","REGULAR","USD",2023-11-06,408,27.1,4.0699997,17.672598,27.08,27.3,10,1510,2023-11-03 15:52:27,0.565434033203125,TRUE,0.0027378507871321
"26","SPY231106C00409000","REGULAR","USD",2023-11-06,409,26.13,4.449999,20.525826,26.08,26.3,4,176,2023-11-03 15:52:28,0.548344360351563,TRUE,0.0027378507871321
"27","SPY231106C00410000","REGULAR","USD",2023-11-06,410,25.32,4.33,20.628872,25.08,25.3,1356,3682,2023-11-03 15:30:30,0.530766411132813,TRUE,0.0027378507871321
"28","SPY231106C00411000","REGULAR","USD",2023-11-06,411,24.28,4.8500004,24.961401,24.08,24.3,57,607,2023-11-03 14:08:32,0.51367673828125,TRUE,0.0027378507871321
"29","SPY231106C00412000","REGULAR","USD",2023-11-06,412,22.89,4.449999,24.132315,23.09,23.3,34,683,2023-11-03 16:00:24,0.520512607421875,TRUE,0.0027378507871321
"30","SPY231106C00413000","REGULAR","USD",2023-11-06,413,22.77,5.1900005,29.522186,22.09,22.3,7,943,2023-11-03 15:23:53,0.502690520019531,TRUE,0.0027378507871321
"31","SPY231106C00414000","REGULAR","USD",2023-11-06,414,21.9,5.369999,32.486378,21.09,21.3,26,1419,2023-11-03 14:39:30,0.484624294433594,TRUE,0.0027378507871321
"32","SPY231106C00415000","REGULAR","USD",2023-11-06,415,20.13,4.339999,27.485746,20.09,20.31,68,2400,2023-11-03 15:49:31,0.468511174316406,TRUE,0.0027378507871321
"33","SPY231106C00416000","REGULAR","USD",2023-11-06,416,19.1,4.2800007,28.879896,19.09,19.31,109,930,2023-11-03 16:09:54,0.450200810546875,TRUE,0.0027378507871321
"34","SPY231106C00417000","REGULAR","USD",2023-11-06,417,18.15,4.41,32.09607,18.09,18.31,144,1072,2023-11-03 15:53:11,0.43164630859375,TRUE,0.0027378507871321
"35","SPY231106C00418000","REGULAR","USD",2023-11-06,418,17.06,4.039999,31.029177,17.13,17.29,151,2274,2023-11-03 16:05:31,0.409673872070312,TRUE,0.0027378507871321
"36","SPY231106C00419000","REGULAR","USD",2023-11-06,419,16.07,4.3099995,36.649654,16.13,16.29,282,2095,2023-11-03 16:08:00,0.391119370117187,TRUE,0.0027378507871321
"37","SPY231106C00420000","REGULAR","USD",2023-11-06,420,15.05,4.34,40.522877,15.14,15.29,361,4430,2023-11-03 16:08:01,0.372564868164063,TRUE,0.0027378507871321
"38","SPY231106C00421000","REGULAR","USD",2023-11-06,421,14.01,4.13,41.80162,14.2,14.29,259,2121,2023-11-03 16:01:21,0.35352208984375,TRUE,0.0027378507871321
"39","SPY231106C00422000","REGULAR","USD",2023-11-06,422,13.15,4.2199993,47.25643,13.14,13.3,598,3025,2023-11-03 16:12:51,0.336188278808594,TRUE,0.0027378507871321
"40","SPY231106C00423000","REGULAR","USD",2023-11-06,423,11.8,3.8500004,48.42768,12.15,12.3,430,3713,2023-11-03 15:59:23,0.316901362304687,TRUE,0.0027378507871321
